src_ip,dst_ip,sport,dport,packet_count,Query_DNS
142.250.180.138,10.0.2.16,443,59672,54,NoQueryDNS
10.0.2.16,10.0.2.3,43723,53,2,prog-money.com.
10.0.2.3,10.0.2.16,53,43723,2,prog-money.com.
10.0.2.16,10.0.2.3,24441,53,2,prog-money.com.
10.0.2.3,10.0.2.16,53,24441,2,prog-money.com.
10.0.2.16,157.90.2.159,42848,80,14,NoQueryDNS
157.90.2.159,10.0.2.16,80,42848,12,NoQueryDNS
10.0.2.16,10.0.2.3,2540,53,2,anmon.name.
10.0.2.3,10.0.2.16,53,2540,2,anmon.name.
10.0.2.16,10.0.2.3,14846,53,2,anmon.name.
10.0.2.3,10.0.2.16,53,14846,2,anmon.name.
10.0.2.16,142.132.131.208,60698,80,80,NoQueryDNS
142.132.131.208,10.0.2.16,80,60698,118,NoQueryDNS
10.0.2.16,142.132.131.208,60700,80,18,NoQueryDNS
142.132.131.208,10.0.2.16,80,60700,16,NoQueryDNS
10.0.2.16,10.0.2.3,34943,53,2,andmon.name.
10.0.2.3,10.0.2.16,53,34943,2,andmon.name.
10.0.2.16,10.0.2.3,51659,53,2,andmon.name.
10.0.2.3,10.0.2.16,53,51659,2,andmon.name.
10.0.2.16,144.76.58.8,36166,80,22,NoQueryDNS
144.76.58.8,10.0.2.16,80,36166,20,NoQueryDNS
10.0.2.16,142.132.131.208,60704,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60704,10,NoQueryDNS
10.0.2.16,142.132.131.208,60706,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60706,10,NoQueryDNS
10.0.2.16,142.132.131.208,60708,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60708,10,NoQueryDNS
10.0.2.16,142.132.131.208,60710,80,16,NoQueryDNS
142.132.131.208,10.0.2.16,80,60710,14,NoQueryDNS
10.0.2.16,10.0.2.3,63559,53,2,play.googleapis.com.
10.0.2.3,10.0.2.16,53,63559,2,play.googleapis.com.
10.0.2.16,10.0.2.3,14431,53,2,play.googleapis.com.
10.0.2.3,10.0.2.16,53,14431,2,play.googleapis.com.
10.0.2.16,142.251.209.42,47256,443,36,NoQueryDNS
142.251.209.42,10.0.2.16,443,47256,34,NoQueryDNS
10.0.2.16,142.251.209.42,47258,443,36,NoQueryDNS
142.251.209.42,10.0.2.16,443,47258,34,NoQueryDNS
10.0.2.16,142.132.131.208,60716,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60716,10,NoQueryDNS
10.0.2.16,142.132.131.208,60718,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60718,10,NoQueryDNS
10.0.2.16,142.132.131.208,60720,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60720,10,NoQueryDNS
10.0.2.16,142.132.131.208,60722,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60722,10,NoQueryDNS
10.0.2.16,142.132.131.208,60724,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60724,10,NoQueryDNS
10.0.2.16,142.132.131.208,60726,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60726,10,NoQueryDNS
10.0.2.16,142.132.131.208,60728,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60728,10,NoQueryDNS
10.0.2.16,142.132.131.208,60730,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60730,10,NoQueryDNS
10.0.2.16,142.132.131.208,60732,80,16,NoQueryDNS
142.132.131.208,10.0.2.16,80,60732,14,NoQueryDNS
10.0.2.16,10.0.2.3,41749,53,2,www.googleapis.com.
10.0.2.3,10.0.2.16,53,41749,2,www.googleapis.com.
10.0.2.16,142.250.180.170,49160,443,114,NoQueryDNS
142.250.180.170,10.0.2.16,443,49160,150,NoQueryDNS
10.0.2.16,142.132.131.208,60736,80,12,NoQueryDNS
142.132.131.208,10.0.2.16,80,60736,10,NoQueryDNS
10.0.2.16,142.132.131.208,60738,80,10,NoQueryDNS
142.132.131.208,10.0.2.16,80,60738,8,NoQueryDNS
